2022/7/25 2:32 UPDATE

DATE,TIME,é¿ê—(ñúkW)
2022/4/4,13:00,674
2022/4/4,14:00,652
2022/4/4,15:00,642
2022/4/4,16:00,653
2022/4/4,17:00,673
2022/4/4,18:00,688
2022/4/4,19:00,686
2022/4/4,20:00,676
2022/4/4,21:00,648
2022/4/4,22:00,625
2022/4/4,23:00,607
2022/4/5,0:00,602
2022/4/5,1:00,613
2022/4/5,2:00,658
2022/4/5,3:00,707
2022/4/5,4:00,723
2022/4/5,5:00,718
2022/4/5,6:00,739
2022/4/5,7:00,713
2022/4/5,8:00,705
2022/4/5,9:00,702
2022/4/5,10:00,692
2022/4/5,11:00,697
2022/4/5,12:00,658
2022/4/5,13:00,678
2022/4/5,14:00,668
2022/4/5,15:00,664
2022/4/5,16:00,660
2022/4/5,17:00,648
2022/4/5,18:00,686
2022/4/5,19:00,684
2022/4/5,20:00,667
2022/4/5,21:00,646
2022/4/5,22:00,611
2022/4/5,23:00,592
2022/4/6,0:00,575
2022/4/6,1:00,573
2022/4/6,2:00,607
2022/4/6,3:00,659
2022/4/6,4:00,674
2022/4/6,5:00,677
2022/4/6,6:00,681
2022/4/6,7:00,671
2022/4/6,8:00,674
2022/4/6,9:00,694
2022/4/6,10:00,675
2022/4/6,11:00,678
2022/4/6,12:00,649
2022/4/6,13:00,670
2022/4/6,14:00,656
2022/4/6,15:00,650
2022/4/6,16:00,668
2022/4/6,17:00,660
2022/4/6,18:00,677
2022/4/6,19:00,674
2022/4/6,20:00,659
2022/4/6,21:00,638
2022/4/6,22:00,619
2022/4/6,23:00,605
2022/4/7,0:00,588
2022/4/7,1:00,592
2022/4/7,2:00,629
2022/4/7,3:00,680
2022/4/7,4:00,699
2022/4/7,5:00,684
2022/4/7,6:00,684
2022/4/7,7:00,661
2022/4/7,8:00,672
2022/4/7,9:00,683
2022/4/7,10:00,682
2022/4/7,11:00,681
2022/4/7,12:00,659
2022/4/7,13:00,681
2022/4/7,14:00,674
2022/4/7,15:00,664
2022/4/7,16:00,670
2022/4/7,17:00,662
2022/4/7,18:00,678
2022/4/7,19:00,663
2022/4/7,20:00,644
2022/4/7,21:00,622
2022/4/7,22:00,603
2022/4/7,23:00,577
2022/4/8,0:00,568
2022/4/8,1:00,573
2022/4/8,2:00,619
2022/4/8,3:00,662
2022/4/8,4:00,678
2022/4/8,5:00,667
2022/4/8,6:00,664
2022/4/8,7:00,654
2022/4/8,8:00,646
2022/4/8,9:00,658
2022/4/8,10:00,654
2022/4/8,11:00,663
2022/4/8,12:00,636
2022/4/8,13:00,658
2022/4/8,14:00,640
2022/4/8,15:00,631
2022/4/8,16:00,645
2022/4/8,17:00,644
2022/4/8,18:00,646
2022/4/8,19:00,639
2022/4/8,20:00,633
2022/4/8,21:00,620
2022/4/8,22:00,601
2022/4/8,23:00,583
2022/4/9,0:00,565
2022/4/9,1:00,566
2022/4/9,2:00,596
2022/4/9,3:00,647
2022/4/9,4:00,652
2022/4/9,5:00,641
2022/4/9,6:00,609
2022/4/9,7:00,574
2022/4/9,8:00,560
2022/4/9,9:00,564
2022/4/9,10:00,571
2022/4/9,11:00,585
2022/4/9,12:00,570
2022/4/9,13:00,565
2022/4/9,14:00,543
2022/4/9,15:00,545
2022/4/9,16:00,563
2022/4/9,17:00,587
2022/4/9,18:00,609
2022/4/9,19:00,607
2022/4/9,20:00,595
2022/4/9,21:00,565
2022/4/9,22:00,524
2022/4/9,23:00,510
2022/4/10,0:00,512
2022/4/10,1:00,510
2022/4/10,2:00,548
2022/4/10,3:00,587
2022/4/10,4:00,600
2022/4/10,5:00,576
2022/4/10,6:00,552
2022/4/10,7:00,523
2022/4/10,8:00,499
2022/4/10,9:00,512
2022/4/10,10:00,521
2022/4/10,11:00,526
2022/4/10,12:00,531
2022/4/10,13:00,524
2022/4/10,14:00,508
2022/4/10,15:00,510
2022/4/10,16:00,521
2022/4/10,17:00,543
2022/4/10,18:00,581
2022/4/10,19:00,590
2022/4/10,20:00,574
2022/4/10,21:00,558
2022/4/10,22:00,521
2022/4/10,23:00,499
2022/4/11,0:00,501
2022/4/11,1:00,498
2022/4/11,2:00,542
2022/4/11,3:00,593
2022/4/11,4:00,620
2022/4/11,5:00,599
2022/4/11,6:00,590
2022/4/11,7:00,585
2022/4/11,8:00,625
2022/4/11,9:00,653
2022/4/11,10:00,674
2022/4/11,11:00,685
2022/4/11,12:00,636
2022/4/11,13:00,660
2022/4/11,14:00,653
2022/4/11,15:00,646
2022/4/11,16:00,649
2022/4/11,17:00,640
2022/4/11,18:00,665
2022/4/11,19:00,653
2022/4/11,20:00,633
2022/4/11,21:00,607
2022/4/11,22:00,577
2022/4/11,23:00,559
2022/4/12,0:00,538
2022/4/12,1:00,537
2022/4/12,2:00,564
2022/4/12,3:00,607
2022/4/12,4:00,626
2022/4/12,5:00,602
2022/4/12,6:00,582
2022/4/12,7:00,588
2022/4/12,8:00,626
2022/4/12,9:00,642
2022/4/12,10:00,648
2022/4/12,11:00,652
2022/4/12,12:00,611
2022/4/12,13:00,654
2022/4/12,14:00,645
2022/4/12,15:00,654
2022/4/12,16:00,667
2022/4/12,17:00,645
2022/4/12,18:00,644
2022/4/12,19:00,636
2022/4/12,20:00,611
2022/4/12,21:00,591
2022/4/12,22:00,576
2022/4/12,23:00,557
2022/4/13,0:00,535
2022/4/13,1:00,537
2022/4/13,2:00,567
2022/4/13,3:00,610
2022/4/13,4:00,629
2022/4/13,5:00,619
2022/4/13,6:00,595
2022/4/13,7:00,588
2022/4/13,8:00,630
2022/4/13,9:00,671
2022/4/13,10:00,682
2022/4/13,11:00,690
2022/4/13,12:00,657
2022/4/13,13:00,685
2022/4/13,14:00,682
2022/4/13,15:00,674
2022/4/13,16:00,681
2022/4/13,17:00,658
2022/4/13,18:00,665
2022/4/13,19:00,651
2022/4/13,20:00,636
2022/4/13,21:00,608
2022/4/13,22:00,583
2022/4/13,23:00,568
2022/4/14,0:00,547
2022/4/14,1:00,543
2022/4/14,2:00,578
2022/4/14,3:00,615
2022/4/14,4:00,635
2022/4/14,5:00,630
2022/4/14,6:00,622
2022/4/14,7:00,628
2022/4/14,8:00,690
2022/4/14,9:00,720
2022/4/14,10:00,712
2022/4/14,11:00,706
2022/4/14,12:00,673
2022/4/14,13:00,701
2022/4/14,14:00,692
2022/4/14,15:00,695
2022/4/14,16:00,698
2022/4/14,17:00,682
2022/4/14,18:00,680
2022/4/14,19:00,656
2022/4/14,20:00,631
2022/4/14,21:00,606
2022/4/14,22:00,570
2022/4/14,23:00,560
2022/4/15,0:00,533
2022/4/15,1:00,526
2022/4/15,2:00,553
2022/4/15,3:00,597
2022/4/15,4:00,626
2022/4/15,5:00,619
2022/4/15,6:00,610
2022/4/15,7:00,620
2022/4/15,8:00,659
2022/4/15,9:00,667
2022/4/15,10:00,661
2022/4/15,11:00,658
2022/4/15,12:00,620
2022/4/15,13:00,646
2022/4/15,14:00,654
2022/4/15,15:00,650
2022/4/15,16:00,667
2022/4/15,17:00,652
2022/4/15,18:00,663
2022/4/15,19:00,656
2022/4/15,20:00,630
2022/4/15,21:00,595
2022/4/15,22:00,569
2022/4/15,23:00,552
2022/4/16,0:00,536
2022/4/16,1:00,530
2022/4/16,2:00,556
2022/4/16,3:00,603
2022/4/16,4:00,623
2022/4/16,5:00,614
2022/4/16,6:00,584
2022/4/16,7:00,563
2022/4/16,8:00,555
2022/4/16,9:00,556
2022/4/16,10:00,573
2022/4/16,11:00,571
2022/4/16,12:00,557
2022/4/16,13:00,554
2022/4/16,14:00,529
2022/4/16,15:00,514
2022/4/16,16:00,525
2022/4/16,17:00,563
2022/4/16,18:00,589
2022/4/16,19:00,606
2022/4/16,20:00,602
2022/4/16,21:00,571
2022/4/16,22:00,545
2022/4/16,23:00,534
2022/4/17,0:00,524
2022/4/17,1:00,518
2022/4/17,2:00,550
2022/4/17,3:00,595
2022/4/17,4:00,620
2022/4/17,5:00,606
2022/4/17,6:00,579
2022/4/17,7:00,537
2022/4/17,8:00,499
2022/4/17,9:00,502
2022/4/17,10:00,510
2022/4/17,11:00,516
2022/4/17,12:00,517
2022/4/17,13:00,501
2022/4/17,14:00,485
2022/4/17,15:00,487
2022/4/17,16:00,503
2022/4/17,17:00,549
2022/4/17,18:00,568
2022/4/17,19:00,579
2022/4/17,20:00,566
2022/4/17,21:00,550
2022/4/17,22:00,520
2022/4/17,23:00,501
2022/4/18,0:00,483
2022/4/18,1:00,486
2022/4/18,2:00,528
2022/4/18,3:00,584
2022/4/18,4:00,606
2022/4/18,5:00,609
2022/4/18,6:00,603
2022/4/18,7:00,588
2022/4/18,8:00,614
2022/4/18,9:00,635
2022/4/18,10:00,625
2022/4/18,11:00,634
2022/4/18,12:00,591
2022/4/18,13:00,630
2022/4/18,14:00,639
2022/4/18,15:00,614
2022/4/18,16:00,622
2022/4/18,17:00,629
2022/4/18,18:00,645
2022/4/18,19:00,641
2022/4/18,20:00,623
2022/4/18,21:00,597
2022/4/18,22:00,567
2022/4/18,23:00,555
2022/4/19,0:00,538
2022/4/19,1:00,541
2022/4/19,2:00,580
2022/4/19,3:00,626
2022/4/19,4:00,646
2022/4/19,5:00,642
2022/4/19,6:00,626
2022/4/19,7:00,610
2022/4/19,8:00,632
2022/4/19,9:00,651
2022/4/19,10:00,654
2022/4/19,11:00,661
2022/4/19,12:00,629
2022/4/19,13:00,657
2022/4/19,14:00,645
2022/4/19,15:00,643
2022/4/19,16:00,653
2022/4/19,17:00,632
2022/4/19,18:00,640
2022/4/19,19:00,643
2022/4/19,20:00,627
2022/4/19,21:00,608
2022/4/19,22:00,577
2022/4/19,23:00,558
2022/4/20,0:00,545
2022/4/20,1:00,543
2022/4/20,2:00,578
2022/4/20,3:00,621
2022/4/20,4:00,646
2022/4/20,5:00,643
2022/4/20,6:00,632
2022/4/20,7:00,605
2022/4/20,8:00,621
2022/4/20,9:00,639
2022/4/20,10:00,637
2022/4/20,11:00,646
2022/4/20,12:00,617
2022/4/20,13:00,651
2022/4/20,14:00,637
2022/4/20,15:00,629
2022/4/20,16:00,637
2022/4/20,17:00,636
2022/4/20,18:00,641
2022/4/20,19:00,633
2022/4/20,20:00,614
2022/4/20,21:00,589
2022/4/20,22:00,567
2022/4/20,23:00,553
2022/4/21,0:00,539
2022/4/21,1:00,534
2022/4/21,2:00,569
2022/4/21,3:00,612
2022/4/21,4:00,638
2022/4/21,5:00,627
2022/4/21,6:00,600
2022/4/21,7:00,593
2022/4/21,8:00,646
2022/4/21,9:00,663
2022/4/21,10:00,673
2022/4/21,11:00,683
2022/4/21,12:00,650
2022/4/21,13:00,684
2022/4/21,14:00,683
2022/4/21,15:00,680
2022/4/21,16:00,689
2022/4/21,17:00,684
2022/4/21,18:00,683
2022/4/21,19:00,658
2022/4/21,20:00,633
2022/4/21,21:00,602
2022/4/21,22:00,563
2022/4/21,23:00,541
2022/4/22,0:00,519
2022/4/22,1:00,516
2022/4/22,2:00,560
2022/4/22,3:00,610
2022/4/22,4:00,632
2022/4/22,5:00,626
2022/4/22,6:00,620
2022/4/22,7:00,604
2022/4/22,8:00,632
2022/4/22,9:00,656
2022/4/22,10:00,658
2022/4/22,11:00,675
2022/4/22,12:00,646
2022/4/22,13:00,660
2022/4/22,14:00,657
2022/4/22,15:00,638
2022/4/22,16:00,645
2022/4/22,17:00,636
2022/4/22,18:00,628
2022/4/22,19:00,628
2022/4/22,20:00,611
2022/4/22,21:00,592
2022/4/22,22:00,561
2022/4/22,23:00,544
2022/4/23,0:00,530
2022/4/23,1:00,521
2022/4/23,2:00,548
2022/4/23,3:00,594
2022/4/23,4:00,610
2022/4/23,5:00,583
2022/4/23,6:00,545
2022/4/23,7:00,542
2022/4/23,8:00,545
2022/4/23,9:00,581
2022/4/23,10:00,595
2022/4/23,11:00,566
2022/4/23,12:00,570
2022/4/23,13:00,567
2022/4/23,14:00,561
2022/4/23,15:00,541
2022/4/23,16:00,547
2022/4/23,17:00,571
2022/4/23,18:00,602
2022/4/23,19:00,599
2022/4/23,20:00,577
2022/4/23,21:00,551
2022/4/23,22:00,522
2022/4/23,23:00,499
2022/4/24,0:00,490
2022/4/24,1:00,487
2022/4/24,2:00,515
2022/4/24,3:00,558
2022/4/24,4:00,582
2022/4/24,5:00,561
2022/4/24,6:00,527
2022/4/24,7:00,522
2022/4/24,8:00,527
2022/4/24,9:00,538
2022/4/24,10:00,531
2022/4/24,11:00,532
2022/4/24,12:00,528
2022/4/24,13:00,522
2022/4/24,14:00,513
2022/4/24,15:00,501
2022/4/24,16:00,501
2022/4/24,17:00,532
2022/4/24,18:00,577
2022/4/24,19:00,593
2022/4/24,20:00,573
2022/4/24,21:00,550
2022/4/24,22:00,515
2022/4/24,23:00,497
2022/4/25,0:00,490
2022/4/25,1:00,480
2022/4/25,2:00,507
2022/4/25,3:00,549
2022/4/25,4:00,575
2022/4/25,5:00,570
2022/4/25,6:00,552
2022/4/25,7:00,548
2022/4/25,8:00,598
2022/4/25,9:00,621
2022/4/25,10:00,623
2022/4/25,11:00,651
2022/4/25,12:00,638
2022/4/25,13:00,652
2022/4/25,14:00,657
2022/4/25,15:00,650
2022/4/25,16:00,646
2022/4/25,17:00,620
2022/4/25,18:00,635
2022/4/25,19:00,630
2022/4/25,20:00,604
2022/4/25,21:00,581
2022/4/25,22:00,545
2022/4/25,23:00,531
2022/4/26,0:00,518
2022/4/26,1:00,507
2022/4/26,2:00,537
2022/4/26,3:00,583
2022/4/26,4:00,601
2022/4/26,5:00,596
2022/4/26,6:00,587
2022/4/26,7:00,599
2022/4/26,8:00,653
2022/4/26,9:00,683
2022/4/26,10:00,696
2022/4/26,11:00,706
2022/4/26,12:00,653
2022/4/26,13:00,688
2022/4/26,14:00,685
2022/4/26,15:00,675
2022/4/26,16:00,683
2022/4/26,17:00,672
2022/4/26,18:00,663
2022/4/26,19:00,639
2022/4/26,20:00,607
2022/4/26,21:00,580
2022/4/26,22:00,557
2022/4/26,23:00,549
2022/4/27,0:00,530
2022/4/27,1:00,524
2022/4/27,2:00,546
2022/4/27,3:00,587
2022/4/27,4:00,606
2022/4/27,5:00,594
2022/4/27,6:00,559
2022/4/27,7:00,555
2022/4/27,8:00,623
2022/4/27,9:00,658
2022/4/27,10:00,648
2022/4/27,11:00,643
2022/4/27,12:00,603
2022/4/27,13:00,642
2022/4/27,14:00,637
2022/4/27,15:00,634
2022/4/27,16:00,630
2022/4/27,17:00,617
2022/4/27,18:00,625
2022/4/27,19:00,609
2022/4/27,20:00,585
2022/4/27,21:00,559
2022/4/27,22:00,528
2022/4/27,23:00,509
2022/4/28,0:00,494
2022/4/28,1:00,501
2022/4/28,2:00,526
2022/4/28,3:00,573
2022/4/28,4:00,599
2022/4/28,5:00,582
2022/4/28,6:00,563
2022/4/28,7:00,549
2022/4/28,8:00,597
2022/4/28,9:00,624
2022/4/28,10:00,635
2022/4/28,11:00,646
2022/4/28,12:00,611
2022/4/28,13:00,633
2022/4/28,14:00,629
2022/4/28,15:00,621
2022/4/28,16:00,633
2022/4/28,17:00,619
2022/4/28,18:00,613
2022/4/28,19:00,609
2022/4/28,20:00,583
2022/4/28,21:00,564
2022/4/28,22:00,530
2022/4/28,23:00,516
2022/4/29,0:00,501
2022/4/29,1:00,497
2022/4/29,2:00,518
2022/4/29,3:00,565
2022/4/29,4:00,582
2022/4/29,5:00,562
2022/4/29,6:00,534
2022/4/29,7:00,539
2022/4/29,8:00,589
2022/4/29,9:00,622
2022/4/29,10:00,627
2022/4/29,11:00,618
2022/4/29,12:00,576
2022/4/29,13:00,576
2022/4/29,14:00,561
2022/4/29,15:00,549
2022/4/29,16:00,551
2022/4/29,17:00,574
2022/4/29,18:00,588
2022/4/29,19:00,585
2022/4/29,20:00,571
2022/4/29,21:00,553
2022/4/29,22:00,508
2022/4/29,23:00,485
2022/4/30,0:00,463
2022/4/30,1:00,463
2022/4/30,2:00,489
2022/4/30,3:00,535
2022/4/30,4:00,556
2022/4/30,5:00,538
2022/4/30,6:00,512
2022/4/30,7:00,493
2022/4/30,8:00,494
2022/4/30,9:00,496
2022/4/30,10:00,506
2022/4/30,11:00,516
2022/4/30,12:00,500
2022/4/30,13:00,505
2022/4/30,14:00,470
2022/4/30,15:00,462
2022/4/30,16:00,496
2022/4/30,17:00,516
2022/4/30,18:00,538
2022/4/30,19:00,549
2022/4/30,20:00,535
2022/4/30,21:00,513
2022/4/30,22:00,480
2022/4/30,23:00,465
2022/5/1,0:00,443
2022/5/1,1:00,441
2022/5/1,2:00,467
2022/5/1,3:00,521
2022/5/1,4:00,537
2022/5/1,5:00,519
2022/5/1,6:00,478
2022/5/1,7:00,455
2022/5/1,8:00,453
2022/5/1,9:00,470
2022/5/1,10:00,476
2022/5/1,11:00,475
2022/5/1,12:00,474
2022/5/1,13:00,458
2022/5/1,14:00,459
2022/5/1,15:00,455
2022/5/1,16:00,472
2022/5/1,17:00,493
2022/5/1,18:00,526
2022/5/1,19:00,548
2022/5/1,20:00,535
2022/5/1,21:00,511
2022/5/1,22:00,478
2022/5/1,23:00,466
2022/5/2,0:00,454
2022/5/2,1:00,450
2022/5/2,2:00,482
2022/5/2,3:00,538
2022/5/2,4:00,562
2022/5/2,5:00,565
2022/5/2,6:00,549
2022/5/2,7:00,521
2022/5/2,8:00,498
2022/5/2,9:00,511
2022/5/2,10:00,531
2022/5/2,11:00,536
2022/5/2,12:00,527
2022/5/2,13:00,534
2022/5/2,14:00,515
2022/5/2,15:00,510
2022/5/2,16:00,521
2022/5/2,17:00,533
2022/5/2,18:00,556
2022/5/2,19:00,578
2022/5/2,20:00,554
2022/5/2,21:00,547
2022/5/2,22:00,513
2022/5/2,23:00,492
2022/5/3,0:00,467
2022/5/3,1:00,478
2022/5/3,2:00,504
2022/5/3,3:00,550
2022/5/3,4:00,566
2022/5/3,5:00,560
2022/5/3,6:00,530
2022/5/3,7:00,493
2022/5/3,8:00,474
2022/5/3,9:00,484
2022/5/3,10:00,477
2022/5/3,11:00,496
2022/5/3,12:00,485
2022/5/3,13:00,474
2022/5/3,14:00,459
2022/5/3,15:00,455
2022/5/3,16:00,482
2022/5/3,17:00,512
2022/5/3,18:00,529
2022/5/3,19:00,537
2022/5/3,20:00,522
2022/5/3,21:00,501
2022/5/3,22:00,479
2022/5/3,23:00,454
2022/5/4,0:00,451
2022/5/4,1:00,448
2022/5/4,2:00,488
2022/5/4,3:00,536
2022/5/4,4:00,556
2022/5/4,5:00,545
2022/5/4,6:00,515
2022/5/4,7:00,469
2022/5/4,8:00,449
2022/5/4,9:00,460
2022/5/4,10:00,470
2022/5/4,11:00,477
2022/5/4,12:00,484
2022/5/4,13:00,476
2022/5/4,14:00,463
2022/5/4,15:00,467
2022/5/4,16:00,477
2022/5/4,17:00,492
2022/5/4,18:00,518
2022/5/4,19:00,543
2022/5/4,20:00,523
2022/5/4,21:00,505
2022/5/4,22:00,484
2022/5/4,23:00,464
2022/5/5,0:00,448
2022/5/5,1:00,445
2022/5/5,2:00,479
2022/5/5,3:00,525
2022/5/5,4:00,550
2022/5/5,5:00,529
2022/5/5,6:00,491
2022/5/5,7:00,463
2022/5/5,8:00,445
2022/5/5,9:00,466
2022/5/5,10:00,478
2022/5/5,11:00,501
2022/5/5,12:00,513
2022/5/5,13:00,499
2022/5/5,14:00,490
2022/5/5,15:00,489
2022/5/5,16:00,489
2022/5/5,17:00,519
2022/5/5,18:00,541
2022/5/5,19:00,558
2022/5/5,20:00,541
2022/5/5,21:00,518
2022/5/5,22:00,491
2022/5/5,23:00,476
2022/5/6,0:00,461
2022/5/6,1:00,453
2022/5/6,2:00,481
2022/5/6,3:00,527
2022/5/6,4:00,549
2022/5/6,5:00,543
2022/5/6,6:00,522
2022/5/6,7:00,507
2022/5/6,8:00,534
2022/5/6,9:00,563
2022/5/6,10:00,576
2022/5/6,11:00,584
2022/5/6,12:00,567
2022/5/6,13:00,584
2022/5/6,14:00,584
2022/5/6,15:00,581
2022/5/6,16:00,582
2022/5/6,17:00,581
2022/5/6,18:00,590
2022/5/6,19:00,591
2022/5/6,20:00,562
2022/5/6,21:00,529
2022/5/6,22:00,500
2022/5/6,23:00,494
2022/5/7,0:00,468
2022/5/7,1:00,463
2022/5/7,2:00,489
2022/5/7,3:00,530
2022/5/7,4:00,560
2022/5/7,5:00,544
2022/5/7,6:00,516
2022/5/7,7:00,509
2022/5/7,8:00,526
2022/5/7,9:00,535
2022/5/7,10:00,568
2022/5/7,11:00,588
2022/5/7,12:00,572
2022/5/7,13:00,567
2022/5/7,14:00,566
2022/5/7,15:00,572
2022/5/7,16:00,584
2022/5/7,17:00,579
2022/5/7,18:00,587
2022/5/7,19:00,584
2022/5/7,20:00,557
2022/5/7,21:00,534
2022/5/7,22:00,504
2022/5/7,23:00,483
2022/5/8,0:00,475
2022/5/8,1:00,462
2022/5/8,2:00,493
2022/5/8,3:00,538
2022/5/8,4:00,561
2022/5/8,5:00,541
2022/5/8,6:00,499
2022/5/8,7:00,469
2022/5/8,8:00,467
2022/5/8,9:00,482
2022/5/8,10:00,489
2022/5/8,11:00,516
2022/5/8,12:00,516
2022/5/8,13:00,510
2022/5/8,14:00,502
2022/5/8,15:00,499
2022/5/8,16:00,516
2022/5/8,17:00,542
2022/5/8,18:00,559
2022/5/8,19:00,567
2022/5/8,20:00,549
2022/5/8,21:00,527
2022/5/8,22:00,506
2022/5/8,23:00,492
2022/5/9,0:00,474
2022/5/9,1:00,468
2022/5/9,2:00,498
2022/5/9,3:00,536
2022/5/9,4:00,565
2022/5/9,5:00,576
2022/5/9,6:00,565
2022/5/9,7:00,562
2022/5/9,8:00,602
2022/5/9,9:00,628
2022/5/9,10:00,610
2022/5/9,11:00,610
2022/5/9,12:00,592
2022/5/9,13:00,613
2022/5/9,14:00,611
2022/5/9,15:00,612
2022/5/9,16:00,617
2022/5/9,17:00,602
2022/5/9,18:00,621
2022/5/9,19:00,621
2022/5/9,20:00,597
2022/5/9,21:00,577
2022/5/9,22:00,557
2022/5/9,23:00,530
2022/5/10,0:00,523
2022/5/10,1:00,518
2022/5/10,2:00,544
2022/5/10,3:00,594
2022/5/10,4:00,620
2022/5/10,5:00,617
2022/5/10,6:00,590
2022/5/10,7:00,567
2022/5/10,8:00,591
2022/5/10,9:00,622
2022/5/10,10:00,630
2022/5/10,11:00,628
2022/5/10,12:00,613
2022/5/10,13:00,638
2022/5/10,14:00,640
2022/5/10,15:00,642
2022/5/10,16:00,648
2022/5/10,17:00,629
2022/5/10,18:00,637
2022/5/10,19:00,628
2022/5/10,20:00,602
2022/5/10,21:00,584
2022/5/10,22:00,572
2022/5/10,23:00,549
2022/5/11,0:00,534
2022/5/11,1:00,525
2022/5/11,2:00,548
2022/5/11,3:00,591
2022/5/11,4:00,621
2022/5/11,5:00,617
2022/5/11,6:00,605
2022/5/11,7:00,610
2022/5/11,8:00,653
2022/5/11,9:00,675
2022/5/11,10:00,666
2022/5/11,11:00,654
2022/5/11,12:00,612
2022/5/11,13:00,647
2022/5/11,14:00,660
2022/5/11,15:00,647
2022/5/11,16:00,661
2022/5/11,17:00,637
2022/5/11,18:00,645
2022/5/11,19:00,650
2022/5/11,20:00,630
2022/5/11,21:00,605
2022/5/11,22:00,593
2022/5/11,23:00,573
2022/5/12,0:00,550
2022/5/12,1:00,548
2022/5/12,2:00,567
2022/5/12,3:00,609
2022/5/12,4:00,642
2022/5/12,5:00,619
2022/5/12,6:00,595
2022/5/12,7:00,605
2022/5/12,8:00,663
2022/5/12,9:00,691
2022/5/12,10:00,693
2022/5/12,11:00,696
2022/5/12,12:00,652
2022/5/12,13:00,684
2022/5/12,14:00,691
2022/5/12,15:00,679
2022/5/12,16:00,676
2022/5/12,17:00,665
2022/5/12,18:00,656
2022/5/12,19:00,631
2022/5/12,20:00,612
2022/5/12,21:00,589
2022/5/12,22:00,575
2022/5/12,23:00,561
2022/5/13,0:00,545
2022/5/13,1:00,538
2022/5/13,2:00,558
2022/5/13,3:00,601
2022/5/13,4:00,623
2022/5/13,5:00,610
2022/5/13,6:00,600
2022/5/13,7:00,617
2022/5/13,8:00,673
2022/5/13,9:00,710
2022/5/13,10:00,708
2022/5/13,11:00,710
2022/5/13,12:00,669
2022/5/13,13:00,697
2022/5/13,14:00,697
2022/5/13,15:00,693
2022/5/13,16:00,693
2022/5/13,17:00,678
2022/5/13,18:00,675
2022/5/13,19:00,648
2022/5/13,20:00,623
2022/5/13,21:00,604
2022/5/13,22:00,578
2022/5/13,23:00,560
2022/5/14,0:00,542
2022/5/14,1:00,531
2022/5/14,2:00,553
2022/5/14,3:00,599
2022/5/14,4:00,609
2022/5/14,5:00,592
2022/5/14,6:00,562
2022/5/14,7:00,540
2022/5/14,8:00,563
2022/5/14,9:00,571
2022/5/14,10:00,561
2022/5/14,11:00,569
2022/5/14,12:00,572
2022/5/14,13:00,580
2022/5/14,14:00,557
2022/5/14,15:00,553
2022/5/14,16:00,562
2022/5/14,17:00,585
2022/5/14,18:00,588
2022/5/14,19:00,601
2022/5/14,20:00,582
2022/5/14,21:00,561
2022/5/14,22:00,530
2022/5/14,23:00,520
2022/5/15,0:00,496
2022/5/15,1:00,491
2022/5/15,2:00,516
2022/5/15,3:00,565
2022/5/15,4:00,582
2022/5/15,5:00,572
2022/5/15,6:00,534
2022/5/15,7:00,493
2022/5/15,8:00,487
2022/5/15,9:00,499
2022/5/15,10:00,509
2022/5/15,11:00,511
2022/5/15,12:00,494
2022/5/15,13:00,505
